locus_tag	ftype	length_bp	gene	EC_number	COG	product
DPCDKLAI_00001	CDS	546	nohA		COG4220	Prophage DNA-packing protein NohA
DPCDKLAI_00002	CDS	1926				hypothetical protein
DPCDKLAI_00003	CDS	207				hypothetical protein
DPCDKLAI_00004	CDS	1602				hypothetical protein
DPCDKLAI_00005	CDS	1320				hypothetical protein
DPCDKLAI_00006	CDS	333				hypothetical protein
DPCDKLAI_00007	CDS	1026				hypothetical protein
DPCDKLAI_00008	CDS	399				hypothetical protein
DPCDKLAI_00009	CDS	354				hypothetical protein
DPCDKLAI_00010	CDS	579				hypothetical protein
DPCDKLAI_00011	CDS	396				hypothetical protein
DPCDKLAI_00012	CDS	741				hypothetical protein
DPCDKLAI_00013	CDS	423				hypothetical protein
DPCDKLAI_00014	CDS	2562				hypothetical protein
DPCDKLAI_00015	CDS	330				hypothetical protein
DPCDKLAI_00016	CDS	699				hypothetical protein
DPCDKLAI_00017	CDS	600				hypothetical protein
DPCDKLAI_00018	CDS	573				hypothetical protein
DPCDKLAI_00019	CDS	3399				hypothetical protein
DPCDKLAI_00020	CDS	621	ail			Attachment invasion locus protein
DPCDKLAI_00021	CDS	852				hypothetical protein
DPCDKLAI_00022	CDS	945				hypothetical protein
DPCDKLAI_00023	CDS	585	tfaE		COG2110	Prophage tail fiber assembly protein TfaE
DPCDKLAI_00024	CDS	1233				hypothetical protein
DPCDKLAI_00025	CDS	891				hypothetical protein
DPCDKLAI_00026	CDS	1578				hypothetical protein
DPCDKLAI_00027	CDS	1071				hypothetical protein
DPCDKLAI_00028	CDS	393				hypothetical protein
DPCDKLAI_00029	CDS	549				hypothetical protein
DPCDKLAI_00030	CDS	222				hypothetical protein
DPCDKLAI_00031	CDS	90				hypothetical protein
DPCDKLAI_00032	CDS	192				hypothetical protein
DPCDKLAI_00033	CDS	183				hypothetical protein
DPCDKLAI_00034	CDS	681				hypothetical protein
DPCDKLAI_00035	CDS	786				hypothetical protein
DPCDKLAI_00036	CDS	297				hypothetical protein
DPCDKLAI_00037	CDS	270				hypothetical protein
DPCDKLAI_00038	CDS	369				hypothetical protein
DPCDKLAI_00039	CDS	201				hypothetical protein
DPCDKLAI_00040	CDS	483				hypothetical protein
DPCDKLAI_00041	CDS	324				hypothetical protein
DPCDKLAI_00042	CDS	435				hypothetical protein
DPCDKLAI_00043	CDS	840				hypothetical protein
DPCDKLAI_00044	CDS	714	lexA	3.4.21.88		LexA repressor
DPCDKLAI_00045	CDS	900				hypothetical protein
DPCDKLAI_00046	CDS	702				hypothetical protein
DPCDKLAI_00047	CDS	291				hypothetical protein
DPCDKLAI_00048	CDS	441				hypothetical protein
DPCDKLAI_00049	CDS	873				hypothetical protein
DPCDKLAI_00050	CDS	174				hypothetical protein
DPCDKLAI_00051	CDS	183				hypothetical protein
DPCDKLAI_00052	CDS	171				hypothetical protein
DPCDKLAI_00053	CDS	615				hypothetical protein
DPCDKLAI_00054	CDS	666	pphA	3.1.3.16		Serine/threonine-protein phosphatase 1
DPCDKLAI_00055	CDS	624				hypothetical protein
DPCDKLAI_00056	CDS	318				hypothetical protein
DPCDKLAI_00057	CDS	477				hypothetical protein
DPCDKLAI_00058	CDS	462				hypothetical protein
DPCDKLAI_00059	CDS	534				hypothetical protein
DPCDKLAI_00060	CDS	207				hypothetical protein
DPCDKLAI_00061	CDS	195				hypothetical protein
