locus_tag	ftype	length_bp	gene	EC_number	COG	product
FNPNEKEK_00001	CDS	273	maoII	1.4.3.21		Copper methylamine oxidase
FNPNEKEK_00002	CDS	870		1.4.3.22		Histamine oxidase
FNPNEKEK_00003	CDS	633				hypothetical protein
FNPNEKEK_00004	CDS	858				hypothetical protein
FNPNEKEK_00005	CDS	1242				hypothetical protein
FNPNEKEK_00006	CDS	789	dhaA	3.8.1.5		Haloalkane dehalogenase
FNPNEKEK_00007	CDS	339				hypothetical protein
FNPNEKEK_00008	CDS	393				hypothetical protein
FNPNEKEK_00009	CDS	1029				hypothetical protein
FNPNEKEK_00010	CDS	1095				hypothetical protein
FNPNEKEK_00011	CDS	726	dps2	1.16.-.-		DNA protection during starvation protein 2
FNPNEKEK_00012	CDS	660	arlR		COG0745	Response regulator ArlR
FNPNEKEK_00013	CDS	1356	sasA_1	2.7.13.3		Adaptive-response sensory-kinase SasA
FNPNEKEK_00014	CDS	1551				hypothetical protein
FNPNEKEK_00015	CDS	1098	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
FNPNEKEK_00016	CDS	654	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
FNPNEKEK_00017	CDS	1707	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
FNPNEKEK_00018	CDS	135				hypothetical protein
FNPNEKEK_00019	CDS	129				hypothetical protein
FNPNEKEK_00020	CDS	2028	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
FNPNEKEK_00021	CDS	1512	sasA_2	2.7.13.3		Adaptive-response sensory-kinase SasA
FNPNEKEK_00022	CDS	630	degU		COG2197	Transcriptional regulatory protein DegU
FNPNEKEK_00023	CDS	768	hsdA	1.1.1.50		3-alpha-hydroxysteroid dehydrogenase/carbonyl reductase
FNPNEKEK_00024	CDS	1188		5.1.1.-	COG4948	N-succinylamino acid racemase
FNPNEKEK_00025	CDS	717	mltF			Membrane-bound lytic murein transglycosylase F
FNPNEKEK_00026	CDS	198				hypothetical protein
FNPNEKEK_00027	CDS	759				hypothetical protein
FNPNEKEK_00028	CDS	819	glpR		COG1349	Glycerol-3-phosphate regulon repressor
FNPNEKEK_00029	CDS	345				hypothetical protein
FNPNEKEK_00030	CDS	2190				hypothetical protein
FNPNEKEK_00031	CDS	948	fruk	2.7.1.56	COG1105	1-phosphofructokinase
FNPNEKEK_00032	CDS	1797	fruA		COG1299	PTS system fructose-specific EIIB'BC component
FNPNEKEK_00033	CDS	342	nicC	1.14.13.114		6-hydroxynicotinate 3-monooxygenase
FNPNEKEK_00034	CDS	252				hypothetical protein
FNPNEKEK_00035	CDS	864				hypothetical protein
FNPNEKEK_00036	CDS	2235		3.4.21.-	COG1404	putative subtilase-type serine protease
FNPNEKEK_00037	CDS	1158			COG4932	putative protein
FNPNEKEK_00038	CDS	3204				hypothetical protein
FNPNEKEK_00039	CDS	165				hypothetical protein
FNPNEKEK_00040	CDS	1404				hypothetical protein
FNPNEKEK_00041	CDS	3387				hypothetical protein
FNPNEKEK_00042	CDS	327				hypothetical protein
FNPNEKEK_00043	CDS	2190				hypothetical protein
FNPNEKEK_00044	CDS	732				hypothetical protein
FNPNEKEK_00045	CDS	423				hypothetical protein
FNPNEKEK_00046	CDS	477				hypothetical protein
FNPNEKEK_00047	CDS	1233			COG3385	IS4 family transposase ISDra7
FNPNEKEK_00048	CDS	201				hypothetical protein
FNPNEKEK_00049	CDS	531				hypothetical protein
FNPNEKEK_00050	CDS	999	dhaK	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
FNPNEKEK_00051	CDS	597	dhaL	2.7.1.121	COG1461	PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
FNPNEKEK_00052	CDS	402	dhaM	2.7.1.121	COG1080	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM
FNPNEKEK_00053	CDS	2001				hypothetical protein
FNPNEKEK_00054	CDS	1209				hypothetical protein
FNPNEKEK_00055	CDS	648			COG1136	putative ABC transporter ATP-binding protein
FNPNEKEK_00056	CDS	459				hypothetical protein
FNPNEKEK_00057	CDS	1767	phoB	3.1.3.1	COG1785	Alkaline phosphatase 3
FNPNEKEK_00058	CDS	1551				hypothetical protein
FNPNEKEK_00059	CDS	216				hypothetical protein
FNPNEKEK_00060	CDS	1257	mdrP			Na(+), Li(+), K(+)/H(+) antiporter
FNPNEKEK_00061	CDS	1737	sgrR			HTH-type transcriptional regulator SgrR
FNPNEKEK_00062	CDS	2811				hypothetical protein
FNPNEKEK_00063	CDS	438				hypothetical protein
FNPNEKEK_00064	CDS	2370				hypothetical protein
FNPNEKEK_00065	CDS	306				hypothetical protein
FNPNEKEK_00066	CDS	2076				hypothetical protein
FNPNEKEK_00067	CDS	336	hcaB	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
FNPNEKEK_00068	CDS	420		1.1.1.176	COG1028	12alpha-hydroxysteroid dehydrogenase
FNPNEKEK_00069	CDS	957				hypothetical protein
FNPNEKEK_00070	CDS	660				hypothetical protein
FNPNEKEK_00071	CDS	2502	aes	3.1.1.-		Acetyl esterase
FNPNEKEK_00072	CDS	252				hypothetical protein
FNPNEKEK_00073	CDS	267				hypothetical protein
FNPNEKEK_00074	CDS	966				hypothetical protein
FNPNEKEK_00075	CDS	912	noc_1			Nucleoid occlusion protein
FNPNEKEK_00076	CDS	1251	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
FNPNEKEK_00077	CDS	1734	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
FNPNEKEK_00078	CDS	1056				hypothetical protein
FNPNEKEK_00079	CDS	414	rsbT	2.7.11.1	COG2172	Serine/threonine-protein kinase RsbT
FNPNEKEK_00080	CDS	426				hypothetical protein
FNPNEKEK_00081	CDS	873				hypothetical protein
FNPNEKEK_00082	CDS	1110				hypothetical protein
FNPNEKEK_00083	CDS	693				hypothetical protein
FNPNEKEK_00084	CDS	390				hypothetical protein
FNPNEKEK_00085	CDS	5121	cshA	3.6.4.13		DEAD-box ATP-dependent RNA helicase CshA
FNPNEKEK_00086	CDS	2826	rapA	3.6.4.-		RNA polymerase-associated protein RapA
FNPNEKEK_00087	CDS	1830				hypothetical protein
FNPNEKEK_00088	CDS	1593				hypothetical protein
FNPNEKEK_00089	CDS	486				IS630 family transposase ISDra3
FNPNEKEK_00090	CDS	519				IS630 family transposase ISDra3
FNPNEKEK_00091	CDS	486				hypothetical protein
FNPNEKEK_00092	CDS	267				hypothetical protein
FNPNEKEK_00093	CDS	516				hypothetical protein
FNPNEKEK_00094	CDS	2910				hypothetical protein
FNPNEKEK_00095	CDS	1329				hypothetical protein
FNPNEKEK_00096	CDS	1101				hypothetical protein
FNPNEKEK_00097	CDS	780				hypothetical protein
FNPNEKEK_00098	CDS	1302				hypothetical protein
FNPNEKEK_00099	CDS	1314				hypothetical protein
FNPNEKEK_00100	CDS	471				hypothetical protein
FNPNEKEK_00101	CDS	975	vatD			Ferric aerobactin-binding protein VatD
FNPNEKEK_00102	CDS	924				hypothetical protein
FNPNEKEK_00103	CDS	975	yfiZ		COG0609	putative siderophore transport system permease protein YfiZ
FNPNEKEK_00104	CDS	1032	yfhA		COG0609	putative siderophore transport system permease protein YfhA
FNPNEKEK_00105	CDS	810	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
FNPNEKEK_00106	CDS	321				hypothetical protein
FNPNEKEK_00107	CDS	609				hypothetical protein
FNPNEKEK_00108	CDS	1269	nhaP			Na(+)/H(+) antiporter NhaP
FNPNEKEK_00109	CDS	954				hypothetical protein
FNPNEKEK_00110	CDS	258				hypothetical protein
FNPNEKEK_00111	CDS	864	btuF		COG0614	Vitamin B12-binding protein
FNPNEKEK_00112	CDS	612	btuR	2.5.1.17		Corrinoid adenosyltransferase CobA
FNPNEKEK_00113	CDS	1326	cbiA	6.3.5.11		Cobyrinate a,c-diamide synthase
FNPNEKEK_00114	CDS	897	cobD		COG1270	Cobalamin biosynthesis protein CobD
FNPNEKEK_00115	CDS	1008	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
FNPNEKEK_00116	CDS	1440	cobQ		COG1492	Cobyric acid synthase
FNPNEKEK_00117	CDS	381				hypothetical protein
FNPNEKEK_00118	CDS	876	hmuT		COG4558	Hemin-binding periplasmic protein HmuT
FNPNEKEK_00119	CDS	999	hmuU		COG0609	Hemin transport system permease protein HmuU
FNPNEKEK_00120	CDS	786	hmuV	7.6.2.-	COG4559	Hemin import ATP-binding protein HmuV
FNPNEKEK_00121	CDS	741	yqjH	1.16.1.9	COG2375	NADPH-dependent ferric-chelate reductase
FNPNEKEK_00122	CDS	600				hypothetical protein
FNPNEKEK_00123	CDS	2361				hypothetical protein
FNPNEKEK_00124	CDS	264				hypothetical protein
FNPNEKEK_00125	CDS	996	nrdF	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
FNPNEKEK_00126	CDS	2088	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha
FNPNEKEK_00127	CDS	426	nrdI			Protein NrdI
FNPNEKEK_00128	CDS	96				hypothetical protein
FNPNEKEK_00129	CDS	483				hypothetical protein
FNPNEKEK_00130	CDS	954	xerC			Tyrosine recombinase XerC
FNPNEKEK_00131	CDS	1092				hypothetical protein
FNPNEKEK_00132	CDS	1494				hypothetical protein
FNPNEKEK_00133	CDS	876	noc_2			Nucleoid occlusion protein
