locus_tag	ftype	length_bp	gene	EC_number	COG	product
KIPFMAPK_00001	CDS	273	maoII	1.4.3.21		Copper methylamine oxidase
KIPFMAPK_00002	CDS	870		1.4.3.22		Histamine oxidase
KIPFMAPK_00003	CDS	633				hypothetical protein
KIPFMAPK_00004	CDS	858				hypothetical protein
KIPFMAPK_00005	CDS	1242				hypothetical protein
KIPFMAPK_00006	CDS	789	dhaA	3.8.1.5		Haloalkane dehalogenase
KIPFMAPK_00007	CDS	339				hypothetical protein
KIPFMAPK_00008	CDS	393				hypothetical protein
KIPFMAPK_00009	CDS	1029				hypothetical protein
KIPFMAPK_00010	CDS	1095				hypothetical protein
KIPFMAPK_00011	CDS	726	dps2	1.16.-.-		DNA protection during starvation protein 2
KIPFMAPK_00012	CDS	660	arlR		COG0745	Response regulator ArlR
KIPFMAPK_00013	CDS	1356	sasA_1	2.7.13.3		Adaptive-response sensory-kinase SasA
KIPFMAPK_00014	CDS	1551				hypothetical protein
KIPFMAPK_00015	CDS	1098	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
KIPFMAPK_00016	CDS	654	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
KIPFMAPK_00017	CDS	1707	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
KIPFMAPK_00018	CDS	135				hypothetical protein
KIPFMAPK_00019	CDS	129				hypothetical protein
KIPFMAPK_00020	CDS	2028	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
KIPFMAPK_00021	CDS	1512	sasA_2	2.7.13.3		Adaptive-response sensory-kinase SasA
KIPFMAPK_00022	CDS	630	degU		COG2197	Transcriptional regulatory protein DegU
KIPFMAPK_00023	CDS	768	hsdA	1.1.1.50		3-alpha-hydroxysteroid dehydrogenase/carbonyl reductase
KIPFMAPK_00024	CDS	1188		5.1.1.-	COG4948	N-succinylamino acid racemase
KIPFMAPK_00025	CDS	717	mltF			Membrane-bound lytic murein transglycosylase F
KIPFMAPK_00026	CDS	198				hypothetical protein
KIPFMAPK_00027	CDS	759				hypothetical protein
KIPFMAPK_00028	CDS	819	glpR		COG1349	Glycerol-3-phosphate regulon repressor
KIPFMAPK_00029	CDS	345				hypothetical protein
KIPFMAPK_00030	CDS	2190				hypothetical protein
KIPFMAPK_00031	CDS	948	fruk	2.7.1.56	COG1105	1-phosphofructokinase
KIPFMAPK_00032	CDS	1797	fruA		COG1299	PTS system fructose-specific EIIB'BC component
KIPFMAPK_00033	CDS	342	nicC	1.14.13.114		6-hydroxynicotinate 3-monooxygenase
KIPFMAPK_00034	CDS	252				hypothetical protein
KIPFMAPK_00035	CDS	864				hypothetical protein
KIPFMAPK_00036	CDS	2235		3.4.21.-	COG1404	putative subtilase-type serine protease
KIPFMAPK_00037	CDS	1158			COG4932	putative protein
KIPFMAPK_00038	CDS	3204				hypothetical protein
KIPFMAPK_00039	CDS	165				hypothetical protein
KIPFMAPK_00040	CDS	1404				hypothetical protein
KIPFMAPK_00041	CDS	3387				hypothetical protein
KIPFMAPK_00042	CDS	327				hypothetical protein
KIPFMAPK_00043	CDS	2190				hypothetical protein
KIPFMAPK_00044	CDS	732				hypothetical protein
KIPFMAPK_00045	CDS	423				hypothetical protein
KIPFMAPK_00046	CDS	477				hypothetical protein
KIPFMAPK_00047	CDS	1233			COG3385	IS4 family transposase ISDra7
KIPFMAPK_00048	CDS	201				hypothetical protein
KIPFMAPK_00049	CDS	531				hypothetical protein
KIPFMAPK_00050	CDS	999	dhaK	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
KIPFMAPK_00051	CDS	597	dhaL	2.7.1.121	COG1461	PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
KIPFMAPK_00052	CDS	402	dhaM	2.7.1.121	COG1080	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM
KIPFMAPK_00053	CDS	2001				hypothetical protein
KIPFMAPK_00054	CDS	1209				hypothetical protein
KIPFMAPK_00055	CDS	648			COG1136	putative ABC transporter ATP-binding protein
KIPFMAPK_00056	CDS	459				hypothetical protein
KIPFMAPK_00057	CDS	1767	phoB	3.1.3.1	COG1785	Alkaline phosphatase 3
KIPFMAPK_00058	CDS	1551				hypothetical protein
KIPFMAPK_00059	CDS	216				hypothetical protein
KIPFMAPK_00060	CDS	1257	mdrP			Na(+), Li(+), K(+)/H(+) antiporter
KIPFMAPK_00061	CDS	1737	sgrR			HTH-type transcriptional regulator SgrR
KIPFMAPK_00062	CDS	2811				hypothetical protein
KIPFMAPK_00063	CDS	438				hypothetical protein
KIPFMAPK_00064	CDS	2370				hypothetical protein
KIPFMAPK_00065	CDS	306				hypothetical protein
KIPFMAPK_00066	CDS	2076				hypothetical protein
KIPFMAPK_00067	CDS	336	hcaB	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
KIPFMAPK_00068	CDS	420		1.1.1.176	COG1028	12alpha-hydroxysteroid dehydrogenase
KIPFMAPK_00069	CDS	957				hypothetical protein
KIPFMAPK_00070	CDS	660				hypothetical protein
KIPFMAPK_00071	CDS	2502	aes	3.1.1.-		Acetyl esterase
KIPFMAPK_00072	CDS	252				hypothetical protein
KIPFMAPK_00073	CDS	267				hypothetical protein
KIPFMAPK_00074	CDS	966				hypothetical protein
KIPFMAPK_00075	CDS	912	noc_1			Nucleoid occlusion protein
KIPFMAPK_00076	CDS	1251	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
KIPFMAPK_00077	CDS	1734	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
KIPFMAPK_00078	CDS	1056				hypothetical protein
KIPFMAPK_00079	CDS	414	rsbT	2.7.11.1	COG2172	Serine/threonine-protein kinase RsbT
KIPFMAPK_00080	CDS	426				hypothetical protein
KIPFMAPK_00081	CDS	873				hypothetical protein
KIPFMAPK_00082	CDS	1110				hypothetical protein
KIPFMAPK_00083	CDS	693				hypothetical protein
KIPFMAPK_00084	CDS	390				hypothetical protein
KIPFMAPK_00085	CDS	5121	cshA	3.6.4.13		DEAD-box ATP-dependent RNA helicase CshA
KIPFMAPK_00086	CDS	2826	rapA	3.6.4.-		RNA polymerase-associated protein RapA
KIPFMAPK_00087	CDS	1830				hypothetical protein
KIPFMAPK_00088	CDS	1593				hypothetical protein
KIPFMAPK_00089	CDS	486				IS630 family transposase ISDra3
KIPFMAPK_00090	CDS	519				IS630 family transposase ISDra3
KIPFMAPK_00091	CDS	486				hypothetical protein
KIPFMAPK_00092	CDS	267				hypothetical protein
KIPFMAPK_00093	CDS	516				hypothetical protein
KIPFMAPK_00094	CDS	2910				hypothetical protein
KIPFMAPK_00095	CDS	1329				hypothetical protein
KIPFMAPK_00096	CDS	1101				hypothetical protein
KIPFMAPK_00097	CDS	780				hypothetical protein
KIPFMAPK_00098	CDS	1302				hypothetical protein
KIPFMAPK_00099	CDS	1314				hypothetical protein
KIPFMAPK_00100	CDS	471				hypothetical protein
KIPFMAPK_00101	CDS	975	vatD			Ferric aerobactin-binding protein VatD
KIPFMAPK_00102	CDS	924				hypothetical protein
